"Period","Passenger_type","Direction","Country","Count"
201511,"Overseas visitor","Arrival","Andorra",16
201511,"Overseas visitor","Arrival","Argentina",416
201511,"Overseas visitor","Arrival","Australia",110048
201511,"Overseas visitor","Arrival","Austria",960
201511,"Overseas visitor","Arrival","Bahrain",32
201511,"Overseas visitor","Arrival","Bangladesh",32
201511,"Overseas visitor","Arrival","Barbados",16
201511,"Overseas visitor","Arrival","Belarus",16
201511,"Overseas visitor","Arrival","Belgium",848
201511,"Overseas visitor","Arrival","Bermuda",16
201511,"Overseas visitor","Arrival","Brazil",1120
201511,"Overseas visitor","Arrival","Brunei Darussalam",64
201511,"Overseas visitor","Arrival","Bulgaria",48
201511,"Overseas visitor","Arrival","Cambodia",96
201511,"Overseas visitor","Arrival","Canada",6016
201511,"Overseas visitor","Arrival","Cayman Islands",32
201511,"Overseas visitor","Arrival","Chile",464
201511,"Overseas visitor","Arrival","China, People's Republic of",36736
201511,"Overseas visitor","Arrival","Colombia",128
201511,"Overseas visitor","Arrival","Cook Islands",896
201511,"Overseas visitor","Arrival","Costa Rica",16
201511,"Overseas visitor","Arrival","Croatia",64
201511,"Overseas visitor","Arrival","Cyprus",32
201511,"Overseas visitor","Arrival","Czechia",624
201511,"Overseas visitor","Arrival","Denmark",1152
201511,"Overseas visitor","Arrival","Dominican Republic",32
201511,"Overseas visitor","Arrival","Ecuador",16
201511,"Overseas visitor","Arrival","Egypt",16
201511,"Overseas visitor","Arrival","Estonia",80
201511,"Overseas visitor","Arrival","Fiji",2880
201511,"Overseas visitor","Arrival","Finland",624
201511,"Overseas visitor","Arrival","Former Yugoslav Republic of Macedonia (FYROM)",16
201511,"Overseas visitor","Arrival","France",4048
201511,"Overseas visitor","Arrival","French Polynesia",1328
201511,"Overseas visitor","Arrival","Germany",10688
201511,"Overseas visitor","Arrival","Ghana",16
201511,"Overseas visitor","Arrival","Greece",64
201511,"Overseas visitor","Arrival","Guam",48
201511,"Overseas visitor","Arrival","Hong Kong (Special Administrative Region)",3248
201511,"Overseas visitor","Arrival","Hungary",144
201511,"Overseas visitor","Arrival","Iceland",48
201511,"Overseas visitor","Arrival","India",4816
201511,"Overseas visitor","Arrival","Indonesia",1024
201511,"Overseas visitor","Arrival","Iran",48
201511,"Overseas visitor","Arrival","Iraq",16
201511,"Overseas visitor","Arrival","Ireland",880
201511,"Overseas visitor","Arrival","Israel",640
201511,"Overseas visitor","Arrival","Italy",1040
201511,"Overseas visitor","Arrival","Jamaica",16
201511,"Overseas visitor","Arrival","Japan",8144
201511,"Overseas visitor","Arrival","Jordan",16
201511,"Overseas visitor","Arrival","Kiribati",64
201511,"Overseas visitor","Arrival","Korea, Republic of",6880
201511,"Overseas visitor","Arrival","Kosovo",16
201511,"Overseas visitor","Arrival","Kuwait",48
201511,"Overseas visitor","Arrival","Laos",16
201511,"Overseas visitor","Arrival","Latvia",32
201511,"Overseas visitor","Arrival","Liechtenstein",16
201511,"Overseas visitor","Arrival","Lithuania",48
201511,"Overseas visitor","Arrival","Luxembourg",96
201511,"Overseas visitor","Arrival","Macau (Special Administrative Region)",224
201511,"Overseas visitor","Arrival","Malaysia",5280
201511,"Overseas visitor","Arrival","Maldives",16
201511,"Overseas visitor","Arrival","Malta",48
201511,"Overseas visitor","Arrival","Marshall Islands",16
201511,"Overseas visitor","Arrival","Mauritius",32
201511,"Overseas visitor","Arrival","Mexico",416
201511,"Overseas visitor","Arrival","Micronesia, Federated States of",16
201511,"Overseas visitor","Arrival","Moldova",16
201511,"Overseas visitor","Arrival","Monaco",16
201511,"Overseas visitor","Arrival","Mongolia",32
201511,"Overseas visitor","Arrival","Morocco",16
201511,"Overseas visitor","Arrival","Myanmar",16
201511,"Overseas visitor","Arrival","Namibia",16
201511,"Overseas visitor","Arrival","Nauru",16
201511,"Overseas visitor","Arrival","Nepal",64
201511,"Overseas visitor","Arrival","Netherlands",2912
201511,"Overseas visitor","Arrival","New Caledonia",1248
201511,"Overseas visitor","Arrival","New Zealand",1824
201511,"Overseas visitor","Arrival","Nigeria",16
201511,"Overseas visitor","Arrival","Niue",192
201511,"Overseas visitor","Arrival","Norfolk Island",64
201511,"Overseas visitor","Arrival","Norway",528
201511,"Overseas visitor","Arrival","Not Stated",4192
201511,"Overseas visitor","Arrival","Oman",32
201511,"Overseas visitor","Arrival","Pakistan",64
201511,"Overseas visitor","Arrival","Palau",16
201511,"Overseas visitor","Arrival","Panama",32
201511,"Overseas visitor","Arrival","Papua New Guinea",272
201511,"Overseas visitor","Arrival","Paraguay",16
201511,"Overseas visitor","Arrival","Peru",48
201511,"Overseas visitor","Arrival","Philippines",1072
201511,"Overseas visitor","Arrival","Poland",656
201511,"Overseas visitor","Arrival","Portugal",176
201511,"Overseas visitor","Arrival","Qatar",96
201511,"Overseas visitor","Arrival","Reunion",16
201511,"Overseas visitor","Arrival","Romania",128
201511,"Overseas visitor","Arrival","Russia",400
201511,"Overseas visitor","Arrival","Samoa",2432
201511,"Overseas visitor","Arrival","Samoa, American",80
201511,"Overseas visitor","Arrival","Saudi Arabia",192
201511,"Overseas visitor","Arrival","Serbia",16
201511,"Overseas visitor","Arrival","Singapore",6528
201511,"Overseas visitor","Arrival","Slovakia",112
201511,"Overseas visitor","Arrival","Slovenia",80
201511,"Overseas visitor","Arrival","Solomon Islands",272
201511,"Overseas visitor","Arrival","Somalia",16
201511,"Overseas visitor","Arrival","South Africa",1696
201511,"Overseas visitor","Arrival","South Sudan",16
201511,"Overseas visitor","Arrival","Spain",1472
201511,"Overseas visitor","Arrival","Sri Lanka",224
201511,"Overseas visitor","Arrival","Suriname",16
201511,"Overseas visitor","Arrival","Sweden",1648
201511,"Overseas visitor","Arrival","Switzerland",2416
201511,"Overseas visitor","Arrival","Syria",16
201511,"Overseas visitor","Arrival","Taiwan",3616
201511,"Overseas visitor","Arrival","Tanzania",16
201511,"Overseas visitor","Arrival","Thailand",1376
201511,"Overseas visitor","Arrival","Timor-Leste",16
201511,"Overseas visitor","Arrival","Tokelau",16
201511,"Overseas visitor","Arrival","Tonga",1952
201511,"Overseas visitor","Arrival","Turkey",96
201511,"Overseas visitor","Arrival","Tuvalu",80
201511,"Overseas visitor","Arrival","Uganda",16
201511,"Overseas visitor","Arrival","Ukraine",112
201511,"Overseas visitor","Arrival","United Arab Emirates",528
201511,"Overseas visitor","Arrival","United Kingdom",19824
201511,"Overseas visitor","Arrival","United States of America",26752
201511,"Overseas visitor","Arrival","Uruguay",48
201511,"Overseas visitor","Arrival","Vanuatu",976
201511,"Overseas visitor","Arrival","Viet Nam",384
201511,"Overseas visitor","Arrival","Virgin Islands, British",16
201511,"Overseas visitor","Arrival","Zambia",16
201511,"Overseas visitor","Arrival","Zimbabwe",32
201511,"Overseas visitor","Departure","Angola",26
201511,"Overseas visitor","Departure","Argentina",442
201511,"Overseas visitor","Departure","Armenia",26
201511,"Overseas visitor","Departure","Australia",109252
201511,"Overseas visitor","Departure","Austria",520
201511,"Overseas visitor","Departure","Bahrain",26
201511,"Overseas visitor","Departure","Bangladesh",26
201511,"Overseas visitor","Departure","Barbados",26
201511,"Overseas visitor","Departure","Belgium",676
201511,"Overseas visitor","Departure","Brazil",1170
201511,"Overseas visitor","Departure","Brunei Darussalam",78
201511,"Overseas visitor","Departure","Bulgaria",78
201511,"Overseas visitor","Departure","Cambodia",78
201511,"Overseas visitor","Departure","Canada",4784
201511,"Overseas visitor","Departure","Chile",468
201511,"Overseas visitor","Departure","China, People's Republic of",34502
201511,"Overseas visitor","Departure","Colombia",78
201511,"Overseas visitor","Departure","Cook Islands",754
201511,"Overseas visitor","Departure","Costa Rica",26
201511,"Overseas visitor","Departure","Croatia",52
201511,"Overseas visitor","Departure","Cuba",26
201511,"Overseas visitor","Departure","Cyprus",26
201511,"Overseas visitor","Departure","Czechia",468
201511,"Overseas visitor","Departure","Denmark",962
201511,"Overseas visitor","Departure","Dominican Republic",26
201511,"Overseas visitor","Departure","Estonia",26
201511,"Overseas visitor","Departure","Fiji",1976
201511,"Overseas visitor","Departure","Finland",442
201511,"Overseas visitor","Departure","France",2808
201511,"Overseas visitor","Departure","French Polynesia",1352
201511,"Overseas visitor","Departure","Germany",5824
201511,"Overseas visitor","Departure","Gibraltar",26
201511,"Overseas visitor","Departure","Greece",26
201511,"Overseas visitor","Departure","Guyana",26
201511,"Overseas visitor","Departure","Hong Kong (Special Administrative Region)",2522
201511,"Overseas visitor","Departure","Hungary",130
201511,"Overseas visitor","Departure","India",3666
201511,"Overseas visitor","Departure","Indonesia",988
201511,"Overseas visitor","Departure","Iran",26
201511,"Overseas visitor","Departure","Ireland",910
201511,"Overseas visitor","Departure","Israel",312
201511,"Overseas visitor","Departure","Italy",494
201511,"Overseas visitor","Departure","Japan",7826
201511,"Overseas visitor","Departure","Jordan",26
201511,"Overseas visitor","Departure","Kazakhstan",26
201511,"Overseas visitor","Departure","Kenya",26
201511,"Overseas visitor","Departure","Kiribati",26
201511,"Overseas visitor","Departure","Korea, Democratic People's Republic of",26
201511,"Overseas visitor","Departure","Korea, Republic of",6916
201511,"Overseas visitor","Departure","Kuwait",26
201511,"Overseas visitor","Departure","Latvia",26
201511,"Overseas visitor","Departure","Lithuania",26
201511,"Overseas visitor","Departure","Luxembourg",26
201511,"Overseas visitor","Departure","Macau (Special Administrative Region)",234
201511,"Overseas visitor","Departure","Malaysia",4004
201511,"Overseas visitor","Departure","Mali",26
201511,"Overseas visitor","Departure","Malta",52
201511,"Overseas visitor","Departure","Mexico",286
201511,"Overseas visitor","Departure","Micronesia, Federated States of",26
201511,"Overseas visitor","Departure","Monaco",26
201511,"Overseas visitor","Departure","Namibia",26
201511,"Overseas visitor","Departure","Nauru",26
201511,"Overseas visitor","Departure","Nepal",26
201511,"Overseas visitor","Departure","Netherlands",1482
201511,"Overseas visitor","Departure","New Caledonia",1144
201511,"Overseas visitor","Departure","New Zealand",1872
201511,"Overseas visitor","Departure","Niue",260
201511,"Overseas visitor","Departure","Norfolk Island",78
201511,"Overseas visitor","Departure","Norway",416
201511,"Overseas visitor","Departure","Not Stated",11648
201511,"Overseas visitor","Departure","Pakistan",104
201511,"Overseas visitor","Departure","Panama",26
201511,"Overseas visitor","Departure","Papua New Guinea",286
201511,"Overseas visitor","Departure","Peru",52
201511,"Overseas visitor","Departure","Philippines",1066
201511,"Overseas visitor","Departure","Poland",442
201511,"Overseas visitor","Departure","Portugal",78
201511,"Overseas visitor","Departure","Qatar",78
201511,"Overseas visitor","Departure","Reunion",52
201511,"Overseas visitor","Departure","Romania",52
201511,"Overseas visitor","Departure","Russia",312
201511,"Overseas visitor","Departure","Rwanda",26
201511,"Overseas visitor","Departure","Samoa",1326
201511,"Overseas visitor","Departure","Samoa, American",26
201511,"Overseas visitor","Departure","Saudi Arabia",260
201511,"Overseas visitor","Departure","Serbia",26
201511,"Overseas visitor","Departure","Singapore",4680
201511,"Overseas visitor","Departure","Slovakia",104
201511,"Overseas visitor","Departure","Slovenia",78
201511,"Overseas visitor","Departure","Solomon Islands",104
201511,"Overseas visitor","Departure","South Africa",1144
201511,"Overseas visitor","Departure","Spain",1196
201511,"Overseas visitor","Departure","Sri Lanka",104
201511,"Overseas visitor","Departure","St Maarten (Dutch Part)",26
201511,"Overseas visitor","Departure","Suriname",26
201511,"Overseas visitor","Departure","Sweden",1170
201511,"Overseas visitor","Departure","Switzerland",1404
201511,"Overseas visitor","Departure","Syria",26
201511,"Overseas visitor","Departure","Taiwan",3770
201511,"Overseas visitor","Departure","Thailand",1612
201511,"Overseas visitor","Departure","Tonga",1144
201511,"Overseas visitor","Departure","Turkey",26
201511,"Overseas visitor","Departure","Tuvalu",52
201511,"Overseas visitor","Departure","Ukraine",130
201511,"Overseas visitor","Departure","United Arab Emirates",286
201511,"Overseas visitor","Departure","United Kingdom",15496
201511,"Overseas visitor","Departure","United States of America",25766
201511,"Overseas visitor","Departure","Uruguay",52
201511,"Overseas visitor","Departure","Vanuatu",182
201511,"Overseas visitor","Departure","Viet Nam",286
201511,"Overseas visitor","Departure","Zambia",26
201511,"Overseas visitor","Departure","Zimbabwe",78
201512,"Overseas visitor","Arrival","Algeria",16
201512,"Overseas visitor","Arrival","Andorra",16
201512,"Overseas visitor","Arrival","Angola",16
201512,"Overseas visitor","Arrival","Argentina",1392
201512,"Overseas visitor","Arrival","Australia",177392
201512,"Overseas visitor","Arrival","Austria",1200
201512,"Overseas visitor","Arrival","Azerbaijan",16
201512,"Overseas visitor","Arrival","Bahamas",16
